1.51793,12.79,0.64,8.77,1
1.51643,12.16,0.57,8.53,3
1.51793,13.21,0.59,8.43,1
1.51299,14.4,0,7.59,6
1.53393,12.3,0.12,16.19,2
1.51655,12.75,0.57,8.79,2
1.51779,13.64,0.06,8.93,3
1.51837,13.14,0.55,9.07,1
1.51545,14.14,0.08,9.07,7
1.51789,13.19,0.55,8.44,2
1.51625,13.36,0.45,8.21,2
1.51743,12.2,0.62,8.9,2
1.52223,13.21,0.13,10.02,1
1.52121,14.03,0.11,9.65,3
1.51665,13.14,0.6,8.38,3
1.51707,13.48,0.62,7.99,2
1.51719,14.75,0,8.53,7
1.51629,12.71,0.67,8.24,2
1.51994,13.27,0.47,11.32,5
1.51811,12.96,0.6,8.79,2
1.52152,13.05,0.19,9.85,1
1.52475,11.45,0.81,13.24,2
1.51841,12.93,0.64,8.96,2
1.51754,13.39,0.57,8.27,1
1.52058,12.85,0.76,9.7,5
1.51569,13.24,0.38,8.03,2
1.5159,12.82,0.69,7.97,2
1.51683,14.56,0,8.52,7
1.51687,13.23,0.56,8.1,2
1.5161,13.33,0.56,8.33,3
1.51674,12.87,0.65,7.99,2
1.51832,13.33,0.56,8.99,3
1.51115,17.38,0,6.65,6
1.51645,13.44,0.66,8.03,2
1.51755,13,0.57,8.4,1
1.51571,12.72,0.67,8.09,1
1.51596,12.79,0.64,8.07,1
1.5173,12.35,0.7,9.23,2
1.51662,12.85,0.68,8.23,2
1.51409,14.25,1.1,7.08,2
1.51797,12.74,0.64,8.68,1
1.51806,13,0.56,8.38,2
1.51627,13,0.61,8.04,2
1.5159,13.24,0.39,8.22,2
1.51934,13.64,0.16,8.89,3
1.51755,12.71,0.59,8.64,1
1.51514,14.01,1.68,5.87,5
1.51766,13.21,0.57,8.22,1
1.51784,13.08,0.6,8.49,1
1.52177,13.2,0.54,8.52,2
1.51753,12.57,0.6,8.55,1
1.51851,13.2,0.57,8.41,2
1.51743,13.3,0.58,8.17,1
1.51593,13.09,0.67,7.83,2
1.5164,14.37,0,9.45,7
1.51735,13.02,0.54,8.44,1
1.52247,14.86,0.76,9.76,7
1.52099,13.69,0.09,9.4,1
1.51769,13.65,0.11,8.6,3
1.51846,13.41,0.51,8.28,2
1.51848,13.64,0.54,8.32,2
1.51905,13.6,0.14,8.76,1
1.51567,13.29,0.56,8.57,1
1.52213,14.21,0.11,9.57,1
1.5232,13.72,0.09,10.06,1
1.51556,13.87,0.14,9.41,7
1.51926,13.2,0.6,9.14,1
1.52211,14.19,0.23,9.14,3
1.53125,10.73,0.58,13.3,2
1.52152,13.05,0.19,9.85,1
